0,1,2,3,4,5,6,7
19.3,0.9922,1.375,1.4812,1.3401,1.3999,1.4505,1.4829
19.4,0.9922,1.36,1.4895,1.3326,1.4032,1.4339,1.4721
19.5,0.9922,1.3567,1.487,1.3268,1.4073,1.4389,1.4812
19.6,0.9922,1.3567,1.4787,1.3268,1.4115,1.4422,1.4729
19.7,0.9922,1.3592,1.4754,1.35,1.4073,1.4464,1.4688
19.8,0.9922,1.35,1.4746,1.3534,1.4007,1.4364,1.4663
19.9,0.9922,1.3492,1.463,1.3376,1.4156,1.4331,1.4663
20,0.9922,1.3492,1.4555,1.3318,1.4215,1.4289,1.4646
20.1,0.9922,1.3451,1.4646,1.3193,1.4123,1.4298,1.4538
20.2,0.9922,1.3542,1.4596,1.3202,1.4032,1.4215,1.458
20.3,0.9922,1.3492,1.4513,1.3326,1.3965,1.4281,1.448
20.4,0.9922,1.3492,1.4406,1.3484,1.3949,1.4057,1.4688
20.5,0.9922,1.3525,1.4372,1.355,1.3866,1.4024,1.4779
20.6,0.9922,1.3534,1.4414,1.365,1.3774,1.3957,1.4688
20.7,0.9922,1.3559,1.4422,1.3808,1.3816,1.3941,1.4787
20.8,0.9922,1.3509,1.4455,1.3916,1.3899,1.3882,1.4779
20.9,0.9922,1.3509,1.4422,1.3965,1.4015,1.3874,1.4738
21,0.9922,1.3584,1.4372,1.3982,1.3907,1.3957,1.4837
21.1,0.9922,1.3534,1.4322,1.4057,1.3982,1.4024,1.4738
21.2,0.9922,1.3417,1.4231,1.419,1.3974,1.3957,1.4746
21.3,0.9922,1.3368,1.4322,1.4306,1.4107,1.3916,1.463
21.4,0.9922,1.3401,1.4264,1.4372,1.4098,1.3716,1.4588
21.5,0.9922,1.3401,1.4281,1.4372,1.4107,1.3716,1.4787
21.6,0.9922,1.3467,1.4298,1.4563,1.404,1.3766,1.4721
21.7,0.98721,1.3509,1.4298,1.4746,1.4073,1.3833,1.4829
21.8,0.98721,1.3559,1.4264,1.463,1.3999,1.3907,1.4829
21.9,0.98721,1.3559,1.4298,1.4646,1.4007,1.3783,1.4904
22,0.98721,1.3584,1.4306,1.4455,1.3941,1.375,1.4887
22.1,0.98721,1.3625,1.4239,1.4464,1.3932,1.3741,1.4729
22.2,0.98721,1.3542,1.4165,1.4439,1.3932,1.365,1.4721
22.3,0.98721,1.3509,1.4173,1.4364,1.4032,1.3708,1.4613
22.4,0.98721,1.3509,1.4148,1.4264,1.4073,1.3791,1.4846
22.5,0.98721,1.3434,1.4206,1.4181,1.3924,1.3899,1.4804
22.6,0.98721,1.3409,1.4165,1.4239,1.3866,1.3841,1.4771
22.7,0.98721,1.3318,1.4273,1.4372,1.399,1.3874,1.4613
22.8,0.98721,1.331,1.4347,1.4397,1.3874,1.409,1.4696
22.9,0.98721,1.3359,1.4339,1.4256,1.3866,1.4231,1.4704
23,0.98721,1.3459,1.4339,1.4322,1.3891,1.4306,1.4704
23.1,0.98721,1.3459,1.4281,1.4339,1.3874,1.4513,1.4621
23.2,0.98721,1.3476,1.4215,1.4314,1.3849,1.4671,1.4596
23.3,0.98721,1.3442,1.4165,1.4381,1.3932,1.463,1.4646
23.4,0.98721,1.3409,1.4132,1.4406,1.3891,1.4306,1.4663
23.5,0.98721,1.3409,1.399,1.4439,1.3957,1.4273,1.4497
23.6,0.98721,1.3451,1.4024,1.4505,1.399,1.4239,1.4538
23.7,0.98721,1.3534,1.3924,1.4638,1.4057,1.4223,1.4605
23.8,0.98721,1.3592,1.3882,1.4663,1.4032,1.4256,1.4655
23.9,0.98721,1.3525,1.3891,1.4655,1.3957,1.4298,1.4787
24,0.98721,1.3575,1.3949,1.4696,1.3982,1.4256,1.463
24.1,0.98721,1.3575,1.4032,1.4804,1.4015,1.4165,1.4513
24.2,0.98721,1.3575,1.4015,1.4821,1.3783,1.4381,1.4414
24.3,0.98721,1.3492,1.4032,1.4887,1.3799,1.4239,1.4314
24.4,0.98721,1.3334,1.3982,1.4663,1.3633,1.4356,1.4215
24.5,0.98721,1.3251,1.3891,1.4646,1.3509,1.4239,1.4231
24.6,0.98721,1.3276,1.3816,1.458,1.3476,1.4165,1.4273
24.7,0.98721,1.3243,1.3758,1.4638,1.3484,1.4248,1.4372
24.8,0.98721,1.316,1.3683,1.4721,1.3575,1.4347,1.4489
24.9,0.98721,1.3135,1.365,1.4713,1.3525,1.4248,1.4422
25,0.98721,1.3102,1.365,1.4729,1.3484,1.4381,1.4497
25.1,0.98721,1.3102,1.365,1.4663,1.3484,1.4314,1.4356
25.2,0.98721,1.3102,1.3691,1.4638,1.3584,1.4156,1.4356
25.3,0.98721,1.3143,1.3608,1.4646,1.3534,1.4156,1.4389
25.4,0.98721,1.3085,1.3534,1.4646,1.3642,1.4073,1.419
25.5,0.98721,1.3052,1.3542,1.4505,1.3575,1.4115,1.4098
25.6,0.98721,1.3002,1.3517,1.4455,1.36,1.4073,1.4198
25.7,0.98721,1.3036,1.3592,1.4397,1.35,1.4073,1.4289
25.8,0.98721,1.3085,1.3625,1.4489,1.3525,1.4123,1.4347
25.9,0.98721,1.3085,1.3608,1.4538,1.3633,1.3999,1.4314
26,0.98721,1.3127,1.3625,1.4646,1.37,1.4065,1.4322
26.1,0.98721,1.3127,1.355,1.4513,1.3592,1.414,1.453
26.2,0.98721,1.3152,1.3484,1.4414,1.3525,1.4256,1.448
26.3,0.98721,1.3168,1.3584,1.4273,1.3575,1.4107,1.4447
26.4,0.98721,1.3152,1.3534,1.4239,1.3675,1.4173,1.4563
26.5,0.98721,1.306,1.355,1.409,1.3816,1.4032,1.4638
26.6,0.98721,1.3102,1.3766,1.4107,1.4007,1.4098,1.4588
26.7,0.98721,1.3268,1.3849,1.3974,1.3882,1.414,1.4547
26.8,0.98721,1.3334,1.3758,1.4015,1.3916,1.4098,1.4862
26.9,0.98721,1.3251,1.3833,1.4065,1.3974,1.414,1.4704
27,0.98721,1.3276,1.3858,1.3974,1.4098,1.4123,1.4729
