13.6,0.66423,0.68084,0.67502,0.56128,0.58286,0.56128,0.60528,0.59698,0.55131
13.7,0.66589,0.67918,0.66672,0.55878,0.57705,0.55712,0.61524,0.60528,0.55712
13.8,0.65842,0.67669,0.66506,0.56211,0.57871,0.54965,0.62438,0.60445,0.55878
13.9,0.67004,0.68001,0.66257,0.56377,0.58452,0.54218,0.63434,0.6003,0.55712
14,0.66506,0.68001,0.66921,0.56377,0.58203,0.55048,0.62355,0.59947,0.5646
14.1,0.65178,0.67835,0.6717,0.57705,0.57539,0.5538,0.61607,0.60777,0.56875
14.2,0.65178,0.67253,0.66423,0.57539,0.56128,0.55878,0.62687,0.60196,0.57041
14.3,0.65178,0.66091,0.65593,0.56875,0.56875,0.56792,0.63268,0.61607,0.57788
14.4,0.65759,0.66257,0.65593,0.56045,0.56543,0.56709,0.62023,0.61192,0.58618
14.5,0.65427,0.66423,0.64929,0.55131,0.5729,0.57456,0.63019,0.6169,0.58286
14.6,0.65012,0.65759,0.63351,0.56211,0.58286,0.58286,0.636,0.62272,0.58784
14.7,0.65012,0.6551,0.63932,0.55878,0.58618,0.58701,0.63932,0.62521,0.57788
14.8,0.64513,0.6468,0.6443,0.56377,0.57373,0.58701,0.63932,0.63517,0.57954
14.9,0.63766,0.64513,0.65593,0.56294,0.57456,0.57954,0.64098,0.63185,0.57124
15,0.63766,0.64596,0.64513,0.56128,0.58369,0.58618,0.6443,0.64763,0.57373
