0,1,2,3,4,5,6,7
18.3,0.65012,0.82116,0.88509,0.86599,0.88094,0.88177,0.95234
18.4,0.65012,0.82116,0.88592,0.85603,0.85852,0.87014,0.95566
18.5,0.6443,0.82614,0.89256,0.86599,0.87346,0.86018,0.9457
18.6,0.63683,0.82199,0.89173,0.84856,0.87429,0.88177,0.95317
18.7,0.63683,0.82614,0.90418,0.84523,0.85271,0.8718,0.93158
18.8,0.636,0.81783,0.90585,0.84108,0.84606,0.87928,0.92079
18.9,0.63683,0.82116,0.90751,0.85271,0.8635,0.88758,0.92162
19,0.63683,0.817,0.90834,0.8444,0.87595,0.87595,0.9457
19.1,0.63766,0.8195,0.90003,0.85022,0.86599,0.89588,0.94487
19.2,0.63766,0.82365,0.87762,0.83693,0.8718,0.89754,0.95483
19.3,0.63766,0.82697,0.86599,0.84357,0.86433,0.89588,0.94404
19.4,0.63351,0.83112,0.87346,0.83444,0.86599,0.88094,0.9457
19.5,0.636,0.84357,0.87014,0.84108,0.86848,0.89505,0.94736
19.6,0.636,0.83444,0.84856,0.83527,0.89173,0.88426,0.95732
19.7,0.63849,0.82531,0.84191,0.84191,0.87263,0.89339,0.96729
19.8,0.64929,0.83029,0.83029,0.84523,0.85686,0.89007,0.96147
19.9,0.64929,0.83444,0.83195,0.85603,0.85022,0.90418,0.96978
20,0.64181,0.84606,0.82531,0.84689,0.83527,0.9183,0.96314
20.1,0.64181,0.84939,0.83112,0.8552,0.82448,0.91415,0.96314
20.2,0.64929,0.85437,0.82365,0.86599,0.8195,0.89588,0.94902
20.3,0.64181,0.85769,0.80455,0.85769,0.8195,0.88509,0.95483
20.4,0.64181,0.85188,0.80123,0.86516,0.82116,0.88426,0.96563
20.5,0.64015,0.85188,0.79293,0.85686,0.81451,0.8992,0.95649
20.6,0.65012,0.83361,0.78628,0.84856,0.81783,0.8909,0.9648
20.7,0.65012,0.83693,0.76719,0.85437,0.79957,0.90751,0.9374
20.8,0.64181,0.83942,0.76968,0.85188,0.8004,0.88758,0.94985
20.9,0.63351,0.84108,0.77051,0.83776,0.82199,0.89505,0.96397
21,0.63351,0.84274,0.77549,0.83942,0.8195,0.90252,0.96147
21.1,0.62687,0.83942,0.76636,0.82282,0.83361,0.88841,0.97974
21.2,0.62936,0.83361,0.75141,0.81534,0.83361,0.86682,0.9922
21.3,0.62936,0.82365,0.75058,0.81368,0.8195,0.86267,0.98555
21.4,0.63849,0.82697,0.75307,0.83278,0.83278,0.84856,0.97725
21.5,0.64264,0.83029,0.7456,0.83527,0.82448,0.86267,0.97725
21.6,0.64264,0.83859,0.74643,0.84606,0.82614,0.86599,0.954
21.7,0.64098,0.84606,0.73647,0.84025,0.83361,0.86433,0.95815
21.8,0.64763,0.84274,0.75307,0.82946,0.84191,0.86267,0.9457
21.9,0.64763,0.84523,0.74809,0.82531,0.82946,0.88011,0.93491
22,0.63849,0.83776,0.74809,0.81119,0.83527,0.87263,0.94902
22.1,0.63849,0.84357,0.75556,0.80953,0.83195,0.88177,0.95732
22.2,0.64015,0.84274,0.77549,0.81119,0.83195,0.88011,0.96147
22.3,0.64015,0.8444,0.77466,0.81617,0.84108,0.87762,0.95068
22.4,0.6277,0.85188,0.77881,0.83942,0.8552,0.86599,0.95317
22.5,0.62936,0.84939,0.77715,0.82946,0.85354,0.87679,0.9648
22.6,0.62936,0.85022,0.77051,0.82448,0.85603,0.86599,0.95068
22.7,0.6277,0.85935,0.76553,0.83444,0.86267,0.85603,0.94072
22.8,0.6277,0.85271,0.77632,0.85603,0.84191,0.86184,0.91332
22.9,0.63683,0.85686,0.76802,0.84025,0.83942,0.87762,0.89837
23,0.64015,0.85105,0.75639,0.82614,0.83693,0.90169,0.90252
23.1,0.64015,0.8552,0.75639,0.81617,0.84025,0.89256,0.90668
23.2,0.64015,0.85271,0.76802,0.80206,0.83195,0.90169,0.91249
